# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 9.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
10            	8.571755e-01	2.640735e-01	5.931020e-01	3.290285e+00	1.201162e+00	2.089122e+00	-4.439801e-01	-1.645142e-01	4.285877e-02	-1.995873e-18	4.285877e-02	-4.285877e-02
20            	-1.374550e-01	-8.523457e-02	-5.222039e-02	3.301418e-01	4.324186e-01	-1.022768e-01	2.673477e-01	-1.650709e-02	-6.872748e-03	1.978324e-19	-6.872748e-03	6.872748e-03
30            	2.868486e-01	6.189623e-02	2.249523e-01	1.630561e+00	6.493238e-01	9.812373e-01	-1.659568e-01	-8.152805e-02	1.434243e-02	-1.337783e-19	1.434243e-02	-1.434243e-02
40            	2.396168e-01	3.865612e-02	2.009607e-01	1.623046e+00	7.350415e-01	8.880040e-01	-7.648126e-02	-8.115228e-02	1.198084e-02	-2.409641e-19	1.198084e-02	-1.198084e-02
50            	1.918800e-01	2.122177e-02	1.706582e-01	1.494364e+00	7.101091e-01	7.842554e-01	-3.707318e-02	-7.471822e-02	9.593999e-03	-1.978912e-19	9.593999e-03	-9.593999e-03
60            	1.928798e-01	2.231263e-02	1.705672e-01	1.482545e+00	6.996572e-01	7.828882e-01	-4.161554e-02	-7.412727e-02	9.643990e-03	-1.913098e-19	9.643990e-03	-9.643990e-03
70            	1.971388e-01	2.447776e-02	1.726611e-01	1.481833e+00	6.950643e-01	7.867689e-01	-4.585229e-02	-7.409166e-02	9.856941e-03	-1.896055e-19	9.856941e-03	-9.856941e-03
80            	1.994106e-01	2.598156e-02	1.734290e-01	1.474475e+00	6.879116e-01	7.865632e-01	-4.932580e-02	-7.372374e-02	9.970530e-03	-1.869764e-19	9.970530e-03	-9.970530e-03
90            	2.009848e-01	2.737842e-02	1.736063e-01	1.462279e+00	6.776983e-01	7.845808e-01	-5.344128e-02	-7.311396e-02	1.004924e-02	-1.835805e-19	1.004924e-02	-1.004924e-02
100           	2.027195e-01	2.904107e-02	1.736784e-01	1.446374e+00	6.644163e-01	7.819572e-01	-5.877048e-02	-7.231868e-02	1.013597e-02	-1.784798e-19	1.013597e-02	-1.013597e-02
110           	2.042205e-01	3.082390e-02	1.733966e-01	1.425727e+00	6.494179e-01	7.763090e-01	-6.344554e-02	-7.128635e-02	1.021103e-02	-1.729198e-19	1.021103e-02	-1.021103e-02
120           	2.042354e-01	3.221643e-02	1.720190e-01	1.398025e+00	6.332448e-01	7.647806e-01	-6.576788e-02	-6.990127e-02	1.021177e-02	-1.678243e-19	1.021177e-02	-1.021177e-02
130           	2.034786e-01	3.344651e-02	1.700321e-01	1.365856e+00	6.158845e-01	7.499712e-01	-6.704336e-02	-6.829278e-02	1.017393e-02	-1.634649e-19	1.017393e-02	-1.017393e-02
140           	2.025872e-01	3.464380e-02	1.679434e-01	1.332996e+00	5.984410e-01	7.345551e-01	-6.805702e-02	-6.664980e-02	1.012936e-02	-1.595412e-19	1.012936e-02	-1.012936e-02
150           	2.015209e-01	3.567709e-02	1.658438e-01	1.301667e+00	5.821874e-01	7.194794e-01	-6.864599e-02	-6.508334e-02	1.007604e-02	-1.562364e-19	1.007604e-02	-1.007604e-02
160           	2.000260e-01	3.639703e-02	1.636290e-01	1.272320e+00	5.676101e-01	7.047097e-01	-6.854978e-02	-6.361599e-02	1.000130e-02	-1.534622e-19	1.000130e-02	-1.000130e-02
170           	1.979819e-01	3.674109e-02	1.612408e-01	1.244997e+00	5.548722e-01	6.901248e-01	-6.762629e-02	-6.224985e-02	9.899094e-03	-1.512087e-19	9.899094e-03	-9.899094e-03
180           	1.955970e-01	3.678225e-02	1.588147e-01	1.220325e+00	5.441409e-01	6.761836e-01	-6.602134e-02	-6.101623e-02	9.779848e-03	-1.494509e-19	9.779848e-03	-9.779848e-03
190           	1.930788e-01	3.658819e-02	1.564906e-01	1.199024e+00	5.356342e-01	6.633897e-01	-6.387776e-02	-5.995119e-02	9.653938e-03	-1.482919e-19	9.653938e-03	-9.653938e-03
200           	1.908056e-01	3.627805e-02	1.545276e-01	1.182495e+00	5.296853e-01	6.528098e-01	-6.156227e-02	-5.912475e-02	9.540280e-03	-1.477654e-19	9.540280e-03	-9.540280e-03
210           	1.885598e-01	3.578889e-02	1.527709e-01	1.169820e+00	5.259370e-01	6.438828e-01	-5.897292e-02	-5.849099e-02	9.427988e-03	-1.479479e-19	9.427988e-03	-9.427988e-03
